b'5.5 km',b'4.3 (209 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91632',"b'Near AVS Layout, Koramangala, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.5 km'"
b'7.9 km',b'4.2 (435 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9877\xe2\x82\xb9',"b'Near Manyata Tech Park, HBR Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.9 km'"
b'5.7 km',b'3.9 (922 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b'Near Bilal masjid, Gurappanapalya, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.7 km'"
b'6.7 km',b'3.5 (3 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91327',"b'Near Old Airport Road, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.7 km'"
b'6.2 km',b'4.6 (831 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91319',"b'Near Sarvodaya College of Nursing, Magadi Rd, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.2 km'"
b'6.2 km',b'NEW',b'\xe2\x82\xb91014',"b'Near KEB Colony, BTM Layout 1, Bangalore\xc2\xb7\n\n\n\n\n\n\n6.2 km'"
b'8.7 km',b'4.1 (504 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91255',"b'Near Yesvantpur Junction Railway Station, Bangalore\xc2\xb7\n\n\n\n\n\n\n8.7 km'"
b'7.8 km',b'4.6 (703 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91264',"b'Near Allahabad Bank, HRBR Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.8 km'"
b'7.3 km',b'3.8 (369 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91014',"b""Near Teacher's Colony Park, Koramangala, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.3 km"""
b'7.7 km',b'4.2 (634 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91479',"b'Near HKBK College, Manyata Tech Park, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.7 km'"
b'7.2 km',b'3.7 (385 Ratings)\xc2\xb7Good',b'\xe2\x82\xb91324',"b'Near NIRM, Kaderanahalli Junction, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.2 km'"
